"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Test Case Inv-5: Verify correct sorting of products - prices: low to high","chromium","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","0","Test Case Inv-4: Verify correct sorting of products: Z to A","chromium","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","534","Test Case 4: Verify adequate input error handling on the login page","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","1659","Test Case 1: Verify a successful login routes to the Inventory feed","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","740","Test Case 2: Verify user cannot proceed when the user is locked out","firefox","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","524","Test Case 2: Verify user cannot proceed when the user is locked out","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","0","Test Case Inv-3: Verify correct sorting of products: A to Z","chromium","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","0","Test Case Inv-6: Verify correct sorting of products: high to low","chromium","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","0","Test Case Inv-6: Verify correct sorting of products: high to low","firefox","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","0","Test Case ATC-7: Verify correct behavior when adding one new item to the cart","firefox","2026-08-24","skipped","2026-08-24","E2E full Testing Suite for Add To Cart","AInventory/inventory-add-to-cart-tests.spec.ts","",""
"","1","Test Case ATC-7: Verify correct behavior when adding one new item to the cart","chromium","2026-08-24","skipped","2026-08-24","E2E full Testing Suite for Add To Cart","AInventory/inventory-add-to-cart-tests.spec.ts","",""
"","0","Test Case Inv-2: Verify each product has title, image, price, description and Add to Cart button (using Accessibility testing snapshot)","firefox","2026-08-24","skipped","2026-08-24","Inventory testing suite for products","AInventory/inventory-products.spec.ts","",""
"","0","Test Case Inv-3: Verify correct sorting of products: A to Z","firefox","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","0","Test Case Inv-5: Verify correct sorting of products - prices: low to high","firefox","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","0","Test Case Inv-1: Verify correct product names (titles) and description (test will fail because of weird names)","firefox","2026-08-24","skipped","2026-08-24","Inventory testing suite for products","AInventory/inventory-products.spec.ts","",""
"","242","Test Case 3: Verify user cannot access the website unless is logged in","chromium","2026-08-24","failed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","1","Test Case Inv-1: Verify correct product names (titles) and description (test will fail because of weird names)","chromium","2026-08-24","skipped","2026-08-24","Inventory testing suite for products","AInventory/inventory-products.spec.ts","",""
"","0","Test Case Inv-4: Verify correct sorting of products: Z to A","firefox","2026-08-24","skipped","2026-08-24","Inventory testing suite for sorting products","AInventory/inventory-sorting-tests.spec.ts","",""
"","1","Test Case Inv-2: Verify each product has title, image, price, description and Add to Cart button (using Accessibility testing snapshot)","chromium","2026-08-24","skipped","2026-08-24","Inventory testing suite for products","AInventory/inventory-products.spec.ts","",""
"","2853","Test Case 1: Verify a successful login routes to the Inventory feed","firefox","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
