"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1721","Test Case 1: Verify a successful login routes to the Inventory feed","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","864","Test Case ATC-7: Verify correct behavior when adding one new item to the cart","firefox","2026-08-24","passed","2026-08-24","E2E full Testing Suite for Add To Cart","Inventory/inventory-add-to-cart-tests.spec.ts","",""
"","641","Test Case Inv-2: Verify each product has title, image, price, description and Add to Cart button (using Accessibility testing snapshot)","chromium","2026-08-24","passed","2026-08-24","Inventory testing suite for products","Inventory/inventory-products.spec.ts","",""
"","2185","Test Case Inv-2: Verify each product has title, image, price, description and Add to Cart button (using Accessibility testing snapshot)","firefox","2026-08-24","passed","2026-08-24","Inventory testing suite for products","Inventory/inventory-products.spec.ts","",""
"","765","Test Case Inv-3: Verify correct sorting of products: A to Z","firefox","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","1119","Test Case Inv-1: Verify correct product names (titles) and description (test will fail because of weird names)","webkit","2026-08-24","failed","2026-08-24","Inventory testing suite for products","Inventory/inventory-products.spec.ts","",""
"","490","Test Case 4: Verify adequate input error handling on the login page","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","724","Test Case 3: Verify user cannot access the website unless is logged in","firefox","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","803","Test Case Inv-4: Verify correct sorting of products: Z to A","firefox","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","960","Test Case Inv-6: Verify correct sorting of products: high to low","webkit","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","469","Test Case 2: Verify user cannot proceed when the user is locked out","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","974","Test Case Inv-5: Verify correct sorting of products - prices: low to high","webkit","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","766","Test Case Inv-5: Verify correct sorting of products - prices: low to high","firefox","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","555","Test Case 3: Verify user cannot access the website unless is logged in","chromium","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","737","Test Case Inv-6: Verify correct sorting of products: high to low","firefox","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","1048","Test Case 4: Verify adequate input error handling on the login page","webkit","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","519","Test Case Inv-5: Verify correct sorting of products - prices: low to high","chromium","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","1053","Test Case Inv-3: Verify correct sorting of products: A to Z","webkit","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","2825","Test Case 1: Verify a successful login routes to the Inventory feed","firefox","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","592","Test Case Inv-3: Verify correct sorting of products: A to Z","chromium","2026-08-24","passed","2026-08-24","Inventory testing suite for sorting products","Inventory/inventory-sorting-tests.spec.ts","",""
"","744","Test Case 4: Verify adequate input error handling on the login page","firefox","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","610","Test Case ATC-7: Verify correct behavior when adding one new item to the cart","chromium","2026-08-24","passed","2026-08-24","E2E full Testing Suite for Add To Cart","Inventory/inventory-add-to-cart-tests.spec.ts","",""
"","792","Test Case 3: Verify user cannot access the website unless is logged in","webkit","2026-08-24","passed","2026-08-24","Full Authentication Testing Suite","Auth/auth.spec.ts","",""
"","1029","Test Case ATC-7: Verify correct behavior when adding one new item to the cart","webkit","2026-08-24","passed","2026-08-24","E2E full Testing Suite for Add To Cart","Inventory/inventory-add-to-cart-tests.spec.ts","",""
